,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
788,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,575642000000000.0,1.65894,1.85652,13.366,0.0,0.959948,,0.0,0.0,0.0,-28543.7,-28543.7,0.256125,0.256125,0.256125,,0.293733,1.0,1.77272,,75.0273,0.0,0.0,-0.0107918
789,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,574642000000000.0,1.65113,1.84667,13.359,0.0,0.958438,,0.0,0.0,0.0,-28562.5,-28562.5,0.254609,0.254609,0.254609,,0.293894,1.0,1.77575,,74.8726,0.0,0.0,-0.0107566
790,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,573642000000000.0,1.64332,1.83681,13.3519,0.0,0.956922,,0.0,0.0,0.0,-28581.2,-28581.2,0.253096,0.253096,0.253096,,0.294054,1.0,1.7788,,74.7169,0.0,0.0,-0.0107214
791,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,572642000000000.0,1.63548,1.82695,13.3448,0.0,0.955397,,0.0,0.0,0.0,-28599.8,-28599.8,0.251584,0.251584,0.251584,,0.294213,1.0,1.78185,,74.5604,0.0,0.0,-0.0106861
792,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,571642000000000.0,1.62764,1.81709,13.3377,0.0,0.953865,,0.0,0.0,0.0,-28618.4,-28618.4,0.250074,0.250074,0.250074,,0.294372,1.0,1.78491,,74.4028,0.0,0.0,-0.0106509
793,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,570642000000000.0,1.61978,1.80723,13.3306,0.0,0.952324,,0.0,0.0,0.0,-28636.9,-28636.9,0.248566,0.248566,0.248566,,0.294531,1.0,1.78799,,74.2444,0.0,0.0,-0.0106156
794,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,569642000000000.0,1.61896,1.80644,13.3422,0.0,0.950348,,0.0,0.0,0.0,-28681.3,-28681.3,0.247678,0.247678,0.247678,,0.294968,1.0,1.78768,,74.2339,0.0,0.0,-0.0105819
795,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,568642000000000.0,1.604,1.78745,13.3161,0.0,0.949211,,0.0,0.0,0.0,-28673.9,-28673.9,0.245552,0.245552,0.245552,,0.294846,1.0,1.79417,,73.9244,0.0,0.0,-0.0105449
796,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,567642000000000.0,1.59603,1.77749,13.3087,0.0,0.947648,,0.0,0.0,0.0,-28692.0,-28692.0,0.244045,0.244045,0.244045,,0.295,1.0,1.7973,,73.7619,0.0,0.0,-0.0105095
797,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,566642000000000.0,1.58815,1.76764,13.3016,0.0,0.946056,,0.0,0.0,0.0,-28710.7,-28710.7,0.242542,0.242542,0.242542,,0.295161,1.0,1.80039,,73.6006,0.0,0.0,-0.010474
798,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,565642000000000.0,1.58021,1.75774,13.2943,0.0,0.944464,,0.0,0.0,0.0,-28729.2,-28729.2,0.24104,0.24104,0.24104,,0.295318,1.0,1.80352,,73.4374,0.0,0.0,-0.0104385
